nulo,304.727982998,312.917788982,354.370679855,429.449309826,448.698153973,593.854670048,407.336430947
lbdle2.+facts,397.817798853,463.748466015,514.681890965,698.92476511,713.856060028,796.856421947,597.6475671530001
lbdle2.-facts,414.066945076,434.641422987,467.621285915,524.658640862,654.514951944,926.774266005,570.3795854648333
lbdle3.+facts,299.49001503,347.756718159,373.678584814,442.662941933,819.711021185,868.692359924,525.3319401741667
lbdle3.-facts,329.020571947,359.191506863,443.123981953,473.328881979,529.001390934,584.471191883,453.02292092650003
lbdle4.+facts,422.947713852,489.899973869,504.121360064,587.819087029,848.583787918,933.720933914,631.1821427743333
lbdle4.-facts,314.749797106,373.461334944,389.780580997,464.843791008,468.947414875,557.847873926,428.27179880933335
lbdle5.+facts,329.446969986,347.669445992,360.006489992,469.42210722,529.806445837,654.94916296,448.55010366450006
lbdle5.-facts,363.471538067,412.242313862,503.213433981,541.57269001,586.352532148,772.120190144,529.8287830353333
lbdle6.+facts,332.409574032,411.754550934,443.380897045,489.521116018,503.495635986,562.815741062,457.2295858461667
lbdle6.-facts,313.743690014,349.038115025,444.289252996,453.888744116,519.084710121,763.684377909,473.9548150301667
onlyfacts,354.549040794,358.009970903,446.998550177,473.940427065,502.640799999,523.023776054,443.19376083199995
perc=0.01.+facts.+binary.+active,374.964303017,408.110405207,412.890445232,418.457297087,438.250420094,454.594023943,417.87781576333333
perc=0.01.+facts.+binary.-active,359.512892962,361.546495914,486.729523897,528.068720818,594.348366022,753.37160182,513.9296002388334
perc=0.01.+facts.-binary.+active,394.98074317,418.700349092,444.125424862,542.855307817,564.999594927,596.985253811,493.7744456131666
perc=0.01.+facts.-binary.-active,356.30759716,374.026270151,383.381429911,413.367508888,558.786091089,561.47507,441.22399453316666
perc=0.01.-facts.+binary.+active,308.900707006,348.324402094,367.054954052,418.222859859,448.341613054,553.862169981,407.4511176743333
perc=0.01.-facts.+binary.-active,284.636981964,397.794060946,443.357988834,452.740191936,504.661943197,519.950716972,433.8569806415
perc=0.01.-facts.-binary.+active,327.648155928,387.056182861,387.78828907,441.490460873,563.994294882,699.431573868,467.9014929136667
perc=0.01.-facts.-binary.-active,331.709450006,356.813196898,359.878650188,378.959995985,442.828336954,454.426656961,387.436047832
perc=0.05.+facts.+binary.+active,392.473785877,434.300070047,479.044425011,612.376659155,643.439500809,649.335098028,535.1615898211667
perc=0.05.+facts.+binary.-active,433.140496969,443.488579035,468.937186956,564.05775404,583.997076035,644.129392862,522.9584143161666
perc=0.05.+facts.-binary.+active,344.28587389,438.430809021,474.569209099,499.978640079,539.765028,604.516766071,483.59105436000004
perc=0.05.+facts.-binary.-active,414.964385033,419.529832125,454.59595108,568.25325799,612.885779142,768.284852028,539.7523428996666
perc=0.05.-facts.+binary.+active,423.25543499,433.974525213,439.704464912,449.150898933,457.213582993,484.865496159,448.0274005333333
perc=0.05.-facts.+binary.-active,379.914407015,409.04635191,419.061321974,439.297478914,489.274105072,501.739235163,439.722150008
perc=0.05.-facts.-binary.+active,424.408406019,443.819783926,462.538603067,468.442283869,594.042819023,603.83710885,499.5148341256666
perc=0.05.-facts.-binary.-active,355.015441179,402.58101511,404.090225935,408.489367962,413.951178074,458.944120884,407.1785581906666
perc=0.1.+facts.+binary.+active,384.952143908,419.520255804,538.828445911,559.458580017,569.854711056,669.680657864,523.7157990933333
perc=0.1.+facts.+binary.-active,446.516690016,543.006250143,574.106087923,702.511194944,736.485732079,794.142045975,632.7946668466666
perc=0.1.+facts.-binary.+active,439.684748173,509.394062042,521.602147102,564.378372908,604.763026953,748.942171097,564.7940880458333
perc=0.1.+facts.-binary.-active,474.086056232,479.574355841,534.42506814,570.031866789,583.060631037,769.079239845,568.3762029806666
perc=0.1.-facts.+binary.+active,423.9673841,437.957157135,442.433547974,481.763138056,484.524199009,649.497709036,486.6905225516666
perc=0.1.-facts.+binary.-active,422.770097971,438.386146069,439.126188993,469.904954195,484.486691952,509.455538988,460.68826969466676
perc=0.1.-facts.-binary.+active,358.813941002,461.708919764,462.405469894,493.445338011,544.56461215,618.720947027,489.9432046413333
perc=0.1.-facts.-binary.-active,454.842782974,503.76549387,513.008240938,517.599231005,623.897065878,819.777805805,572.1484367449999
perc=0.15.+facts.+binary.+active,514.427788973,529.048506975,598.980375051,677.555707932,688.27133894,948.316475153,659.433365504
perc=0.15.+facts.+binary.-active,573.432116985,629.366598129,639.233856916,723.36552906,749.916452885,886.668277979,700.3304719923334
perc=0.15.+facts.-binary.+active,519.475878,523.684298038,554.111580133,567.797617912,571.71983099,643.960658073,563.4583105243333
perc=0.15.+facts.-binary.-active,520.001293182,541.641290903,591.828658104,736.74821806,757.624898911,814.331115007,660.3625790278334
perc=0.15.-facts.+binary.+active,398.432431936,499.541674137,533.600598097,554.477576017,559.618699074,623.318459988,528.1649065415
perc=0.15.-facts.+binary.-active,487.438328981,559.911597013,663.69175601,714.16215086,783.171652794,789.621259928,666.332790931
perc=0.15.-facts.-binary.+active,448.052811861,474.357869148,533.057981968,603.292503834,611.675568104,699.002774,561.5732514858333
perc=0.15.-facts.-binary.-active,377.850930929,409.425742865,488.347270012,567.526843071,852.901149035,1004.75270796,616.8007739786667
perc=0.2.+facts.+binary.+active,599.657628059,619.052484989,643.293963909,678.76590085,724.017975092,742.545372963,667.8888876436666
perc=0.2.+facts.+binary.-active,673.48692894,728.393894911,779.982712984,814.086363077,839.452772141,848.093014956,780.5826145015
perc=0.2.+facts.-binary.+active,503.562594891,512.102967978,556.884673834,583.279093981,632.867245913,837.527616978,604.3706989291667
perc=0.2.+facts.-binary.-active,543.216943026,549.099385023,573.404807091,659.957988977,684.192329884,733.376379967,623.8746389946666
perc=0.2.-facts.+binary.+active,478.342838049,592.350743055,633.828185081,653.021990061,668.979893923,714.549005985,623.512109359
perc=0.2.-facts.+binary.-active,461.38637805,629.720883846,631.555969,664.593544006,738.896360874,789.062220097,652.5358926455
perc=0.2.-facts.-binary.+active,548.85010004,573.395222902,593.97035408,618.875617981,627.773097038,843.867723942,634.4553526638332
perc=0.2.-facts.-binary.-active,533.366306067,574.177864075,629.044811964,719.93155694,723.606700897,823.092097044,667.2032228311667
perc=1.0.+facts.+binary.+active,1375.08527803,1488.64776397,1749.75370193,2106.79798603,2405.03928089,3428.48599195,2092.301667133333
perc=1.0.-facts.+binary.+active,1399.20733118,1469.21173787,1671.06298399,1707.55688214,1840.89113808,1882.78470802,1661.78579688
sizele2.+facts,417.917837858,473.685865879,512.626449108,561.914335966,581.76333189,727.15696311,545.8441306351666
sizele2.-facts,325.044092178,334.543174982,403.361411095,422.728785038,472.588871956,1014.92416501,495.5317500431667
sizele3.+facts,368.797474146,413.115023851,601.842269182,708.412513018,963.935637951,1349.22674918,734.2216112213333
sizele3.-facts,379.144293785,408.652248859,413.392000914,519.61413312,669.358838081,888.687819958,546.4748891195001
sizele4.+facts,356.593434811,419.336706877,423.663665056,478.017153025,641.712736845,754.746223211,512.3449866375
sizele4.-facts,363.943675041,364.832146883,392.935299873,444.116038084,494.328871965,579.234869003,439.8984834748333
sizele5.+facts,510.050259113,547.775847912,548.775029898,558.737560034,633.437777996,1028.45752907,637.8723340038333
sizele5.-facts,319.796751022,419.966781139,472.991539001,517.839612007,1017.12020612,1448.52604914,699.3734897381668
sizele6.+facts,371.485337973,397.59757781,524.841633081,549.401762009,687.208877087,863.821800947,565.7261648178334
sizele6.-facts,388.842025042,398.011639118,414.949365854,469.566581964,474.521509886,639.105858088,464.16616332533334
